"Time_ka","alphaflux","a_U238","a_U234","a_Th230","r234_238","r230_234","Dr238_alpha","Dr238_beta","Dr238_gamma","Dr238","Dr234_alpha","Dr234_beta","Dr234_gamma","Dr234","Dr230_alpha","Dr230_beta","Dr230_gamma","Dr230","Dr_U238chain_alpha","Dr_U238chain_beta","Dr_U238chain_gamma","Dr_U238chain_total","Dr_U235","Dr_Th232","Dr.cosmic","Dr_total","De"
15,11415.0555077421,8.27562292,22.1580251149837,2.88917002190047,2.6775054070472,0.13038932878304,0.01960349248,0.036716,0.0005695,0.05688899248,0.0627870425495293,0.00125575003590513,8.96964311360811e-05,0.0641324890165706,0.0639632614418934,0.0202097504737172,0.0126193985886232,0.0967924105042337,0.146353796471423,0.0581815005096223,0.0132785950197592,0.217813892000804,0.01367513952,0.0019040976624,0.051,0.284393129183204,3.57296068220714
16,11710.2996456888,8.27562292,22.1189245283114,3.06515631497333,2.67278061629123,0.13857619121807,0.01960349248,0.036716,0.0005695,0.05688899248,0.062676247016698,0.00125353410904059,8.95381506457561e-05,0.0640193192763843,0.0678594174966363,0.0214407749696232,0.0133880765001293,0.102688268966389,0.150139156993334,0.0594103090786638,0.0140471146507751,0.223596580722773,0.01367513952,0.0019040976624,0.051,0.290175817905173,3.86024775295299
17,12002.1734469249,8.27562292,22.0799340706972,3.23917668349908,2.668069133181,0.146702280592308,0.01960349248,0.036716,0.0005695,0.05688899248,0.0625657635458768,0.00125132442346189,8.93803159615636e-05,0.0639064682853003,0.0717120499979611,0.0226580478191236,0.0141481675907606,0.108518265407845,0.153881306023838,0.0606253722425855,0.0148070479067222,0.229313726173146,0.01367513952,0.0019040976624,0.051,0.295892963355545,4.1532847203985
18,12290.7096148139,8.27562292,22.0410534319564,3.41125010634641,2.66337092023477,0.154768015824533,0.01960349248,0.036716,0.0005695,0.05688899248,0.0624555912581252,0.00124912096159011,8.92229258278648e-05,0.0637939351455431,0.0755215791185577,0.0238617017794451,0.0148997547569568,0.11428303565496,0.157580662856683,0.0618268227410352,0.0155584776827846,0.234965963280503,0.01367513952,0.0019040976624,0.051,0.301545200462903,4.45200635891326
19,12575.9405484059,8.27562292,22.0022823027776,3.58139538603813,2.65868594007635,0.162773813041478,0.01960349248,0.036716,0.0005695,0.05688899248,0.062345729276978,0.00124692370589581,8.90659789925577e-05,0.0636817189618663,0.0792884211269996,0.0250518683742752,0.0156429201249091,0.119983209626184,0.161237642883978,0.0630147920801711,0.0163014861039017,0.24055392106805,0.01367513952,0.0019040976624,0.051,0.30713315825045,4.75634807484122
20,12857.8983452344,8.27562292,21.9636203747209,3.74963115037138,2.65401415543482,0.170720085596045,0.01960349248,0.036716,0.0005695,0.05688899248,0.0622361767284387,0.00124473263889893,8.89094742070666e-05,0.0635698188415447,0.0830129884236124,0.0262286779050946,0.0163777450576372,0.125619411386344,0.164852657632051,0.0641894105439935,0.0170361545318443,0.246078222707889,0.01367513952,0.0019040976624,0.051,0.312657459890289,5.06624590062235
21,13136.6148040881,8.27562292,21.925067340215,3.91597585402303,2.64935552914426,0.178607244085419,0.01960349248,0.036716,0.0005695,0.05688899248,0.0621269327409727,0.00124254774316866,8.87534102263329e-05,0.0634582338943677,0.0866956895760168,0.0273922594624074,0.0171043101620009,0.131192259200425,0.168426114796989,0.065350807205576,0.0177625635722272,0.251539485574793,0.01367513952,0.0019040976624,0.051,0.318118722757193,5.38163648896855
22,13412.121427757,8.27562292,21.886622892555,4.08044778014037,2.64471002414341,0.186435696369054,0.01960349248,0.036716,0.0005695,0.05688899248,0.0620179964454997,0.00124036900132326,8.85977858088044e-05,0.0633469632326318,0.0903369293543441,0.0285427409368678,0.0178226952956484,0.13670236558686,0.171958418279844,0.0664991099381911,0.0184807930814572,0.256938321299492,0.01367513952,0.0019040976624,0.051,0.323517558481892,5.70245710709289
23,13684.4494257535,8.27562292,21.8482867258996,4.24306504191716,2.64007760347539,0.194205847586543,0.01960349248,0.036716,0.0005695,0.05688899248,0.0619093669753875,0.00123819639602996,8.84425997164257e-05,0.0632360059711338,0.0939371087661294,0.0296802490303051,0.0185329795739,0.142150337370334,0.175449968221517,0.067634445426335,0.0191909221736164,0.262275335821468,0.01367513952,0.0019040976624,0.051,0.328854573003868,6.028645630992
24,13953.6297170084,8.27562292,21.8100585352694,4.40384558415538,2.63545823028744,0.201918100175378,0.01960349248,0.036716,0.0005695,0.05688899248,0.0618010434664449,0.00123602991000481,8.82878507146293e-05,0.0631253612271643,0.0974966250908864,0.0308049092666473,0.0192352413765697,0.147536775734103,0.178901161037331,0.0687569391766521,0.0198930292272843,0.267551129441268,0.01367513952,0.0019040976624,0.051,0.334130366623668,6.36014053978104
