"Sample","mineral","grainsize","etch_depth_um","a_value","a_value_err","Rn_loss","latitude","longitude","altitude_m","depth_m","grain_min","grain_max","water_percent","water_err","U_ppm","U_err","Th_ppm","Th_err","K_percent","K_err","cosmicray","cosmicray_err","internal","internal_err","external_alpha","external_alpha_err","external_beta","external_beta_err","external_gamma","external_gamma_err","external_total","external_total_err","doserate_Gyperka","doserate_err"
"4374","qz","fine",0,0.04,0.01,0,50.5,7.1,147,3,4,11,18.6,5,3.073,0.157,12.6,0.634,1.95,0.1,0.143572679930131,0.0143572679930131,0,0,0.407348593707584,0.0806463643037727,1.89729996620595,0.119222418920111,1.18538282564932,0.0666293876557238,3.49003138556285,0.158610518402646,3.63360406549298,0.159258995639741
"4451","qz","fine",0,0.04,0.01,0,50.5,7.1,147,5,4,11,18.6,5,2.97,0.152,11.88,0.598,1.93,0.099,0.112032351819187,0.0112032351819187,0,0,0.388596719237686,0.0769101334053756,1.85660311151186,0.116972224722918,1.14318669350847,0.0642572896745104,3.38838652425801,0.15403463653794,3.5004188760772,0.15444151557116
"4452","qz","fine",0,0.04,0.01,0,50.5,7.1,147,5.4,4,11,20,5,2.854,0.147,11.36,0.574,1.89,0.097,0.10687150414422,0.010687150414422,0,0,0.366443398496923,0.0724317999310938,1.78051801079064,0.111378355899775,1.08926319218241,0.0607335052505488,3.23622460146998,0.146082382456658,3.34309610561419,0.146472788080905
"4380","qz","fine",0,0.04,0.01,0,50.5,7.1,147,8.7,4,11,36.3,5,2.989,0.151,12.06,0.605,1.87,0.094,0.0745749562418158,0.00745749562418158,0,0,0.325330528794756,0.0634845532529441,1.54628013169502,0.0871049315268298,0.977056626727589,0.0493678583984744,2.84866728721736,0.118552701533417,2.92324224345918,0.118787024888479
"4453","qz","fine",0,0.04,0.01,0,50.5,7.1,147,9.2,4,11,22.1,5,3.184,0.163,11.66,0.59,1.75,0.09,0.0709169359069078,0.00709169359069078,0,0,0.382467938248967,0.0754402669270108,1.6997082245152,0.103786837877256,1.08149527932649,0.0593427847563606,3.16367144209066,0.141366572050178,3.23458837799756,0.141544338675916
"4367","qz","fine",0,0.04,0.01,0,50.5,7.1,147,11,4,11,21.3,5,2.571,0.132,9.65,0.488,1.62,0.083,0.0596580034170201,0.00596580034170201,0,0,0.31554071797859,0.0622782383998506,1.51885748491792,0.0939980138242735,0.930367068441126,0.0513663448650047,2.76476527133763,0.123906040877302,2.82442327475465,0.124049577748595
"4454","qz","fine",0,0.04,0.01,0,50.5,7.1,147,12.1,4,11,25.1,5,2.707,0.141,10.5,0.533,1.64,0.084,0.0539913671433114,0.00539913671433114,0,0,0.323878099295677,0.0637281902005716,1.50839291476104,0.0908720430394065,0.946525728147791,0.0511252739692996,2.77879674220451,0.122199852990222,2.83278810934782,0.122319069437647
"4377","qz","fine",0,0.04,0.01,0,50.5,7.1,147,15.2,4,11,21,5,2.6,0.134,10.01,0.507,1.65,0.085,0.0416129063866928,0.00416129063866928,0,0,0.324375732029468,0.0640449638228315,1.55333156182815,0.0964619684740919,0.955568016782314,0.0529312676790792,2.83327531063993,0.127312166940473,2.87488821702663,0.127380156189488
"4372","qz","fine",0,0.04,0.01,0,50.5,7.1,147,19.2,4,11,30.9,5,2.798,0.143,10.47,0.528,1.54,0.08,0.0308898369669202,0.00308898369669202,0,0,0.309132623015545,0.0605314696594711,1.38071407221071,0.0802746764947319,0.888228151391005,0.0463159540228469,2.57807484661726,0.110694399598696,2.60896468358418,0.110737491044335
"4455","qz","fine",0,0.04,0.01,0,50.5,7.1,147,23,4,11,35,5,6.767,0.34,12.92,0.65,1.69,0.085,0.0240208061442514,0.00240208061442514,0,0,0.539342105611803,0.110658392279665,1.85711371381392,0.101088697389306,1.28675096497498,0.0652287711102916,3.68320678440071,0.163459466236574,3.70722759054496,0.163477114892648
"4370","qz","fine",0,0.04,0.01,0,50.5,7.1,147,27,4,11,24,5,2.51,0.13,9.43,0.48,1.75,0.09,0.0189272171766118,0.00189272171766118,0,0,0.299024756265625,0.0588896662599915,1.54802243939512,0.0951258867208347,0.919716551507538,0.0501064315980892,2.76676374716828,0.122587036851913,2.7856909643449,0.122601647622015
"4456","qz","fine",0,0.04,0.01,0,50.5,7.1,147,29.9,4,11,34,5,2.384,0.124,9.94,0.503,1.53,0.079,0.0161482446323497,0.00161482446323497,0,0,0.270066892684437,0.0528373669433454,1.28583787884013,0.0741252939660441,0.812077832228308,0.0418222734805173,2.36798260375287,0.100177088748562,2.38413084838522,0.100190103144894
"4457","qz","fine",0,0.04,0.01,0,50.5,7.1,147,31.3,4,11,34.4,5,2.632,0.137,10.87,0.551,1.62,0.083,0.0150114953839359,0.00150114953839359,0,0,0.295477858244888,0.0577859376536985,1.37403737910288,0.078579826791686,0.877615072980117,0.0450582096687333,2.54713031032789,0.107444153064185,2.56214180571182,0.107454639162842
"4375","qz","fine",0,0.04,0.01,0,50.5,7.1,147,33,4,11,29.8,5,2.482,0.127,10.06,0.507,1.56,0.079,0.0137783150343498,0.00137783150343498,0,0,0.289041025763995,0.0566650694079206,1.36509057593383,0.079827322675518,0.859180724330457,0.0450618010137857,2.51331232602828,0.107767794109148,2.52709064106263,0.107776601666612
"4369","qz","fine",0,0.04,0.01,0,50.5,7.1,147,38.3,4,11,26.9,5,2.706,0.141,9.79,0.496,1.56,0.081,0.0107404942658048,0.00107404942658048,0,0,0.306508812825258,0.0602381465537302,1.42074393308706,0.0849319928790453,0.890145715029158,0.0475585525309845,2.61739846094148,0.114472239575704,2.62813895520729,0.114477278163171
"4459","qz","fine",0,0.04,0.01,0,50.5,7.1,147,40,4,11,25.1,5,2.762,0.14,10.56,0.531,1.6,0.081,0.00996709620886012,0.000996709620886012,0,0,0.328018311251725,0.0645016673251912,1.4913082397898,0.0891693897767512,0.945781641189917,0.0508477128714155,2.76510819223144,0.121231741161883,2.7750752884403,0.121235838328483
"4460","qz","fine",0,0.04,0.01,0,50.5,7.1,147,43.1,4,11,30.6,5,2.539,0.13,10.79,0.544,1.8,0.092,0.00874651702978726,0.000874651702978726,0,0,0.300738811269534,0.0589806082641709,1.51404889030781,0.0891744248534832,0.928575071913644,0.0486445305527627,2.74336277349099,0.117460974590967,2.75210929052078,0.11746423101294
"4373","qz","fine",0,0.04,0.01,0,50.5,7.1,147,48.8,4,11,25.1,5,2.789,0.143,9.92,0.501,1.8,0.092,0.00699510807541663,0.000699510807541663,0,0,0.31939682354595,0.0628569424824236,1.60275909536435,0.0971985757879493,0.963038393954002,0.0519061430360621,2.8851943128643,0.126857424056791,2.89218942093972,0.126859352645733
"4381","qz","fine",0,0.04,0.01,0,50.5,7.1,147,52.1,4,11,23.7,5,2.906,0.148,10.32,0.519,1.81,0.091,0.00619957473005666,0.000619957473005666,0,0,0.337690517479897,0.0665260664221437,1.65182970982973,0.100187461893963,1.00255144940087,0.0543143287034444,2.9920716767105,0.131959430647694,2.99827125144056,0.13196088694811
"4368","qz","fine",0,0.04,0.01,0,50.5,7.1,147,60,4,11,28.3,5,3.003,0.158,11.64,0.594,1.74,0.092,0.00474452046018747,0.000474452046018747,0,0,0.347061079973324,0.0681338128153976,1.57691011849782,0.0939400565233678,1.00578503273805,0.0535631885594844,2.92975623120919,0.127812228824303,2.93450075166938,0.127813109428493
"4379","qz","fine",0,0.04,0.01,0,50.5,7.1,147,62.7,4,11,42.9,5,2.745,0.14,10.61,0.534,1.55,0.078,0.00435641197063585,0.000435641197063585,0,0,0.274570892971555,0.0533768645216572,1.24860345413332,0.0676965926165568,0.80884719218836,0.0395608304740954,2.33202153929324,0.0948523991570878,2.33637795126387,0.0948533995653718
"4376","qz","fine",0,0.04,0.01,0,50.5,7.1,147,65,4,11,42.6,5,2.841,0.146,12.1,0.612,2.04,0.104,0.00405973132521756,0.000405973132521756,0,0,0.29990884621507,0.0584070382208587,1.54228511950958,0.0857318196082169,0.948564793624297,0.0467965050463543,2.79075875934895,0.113803514408045,2.79481849067417,0.113804238523029
"4366","qz","fine",0,0.04,0.01,0,50.5,7.1,147,69,4,11,42.5,5,8.222,0.414,21.39,1.074,3.39,0.171,0.00360688849027277,0.000360688849027277,0,0,0.686433738402595,0.135663821119538,2.91577382349676,0.156352112904409,1.88272185921186,0.0914712031292299,5.48492942111121,0.226313138311358,5.48853630960148,0.226313425736922
"4382","qz","fine",0,0.04,0.01,0,50.5,7.1,147,69,4,11,62.5,5,2.572,0.132,10.45,0.527,1.82,0.093,0.00360688849027277,0.000360688849027277,0,0,0.223979672501548,0.0432302585721465,1.18160242688112,0.061014999085198,0.726908379562044,0.033021450065541,2.13249047894471,0.0817441223208885,2.13609736743498,0.0817449180711449
"4378","qz","fine",0,0.04,0.01,0,50.5,7.1,147,70.1,4,11,24.9,5,3.174,0.161,10.81,0.544,2.09,0.105,0.00349467405502698,0.000349467405502698,0,0,0.356635332322352,0.0702434277741376,1.84293672725166,0.111556719707456,1.08804402349166,0.0585407713174181,3.28761608306567,0.144243068338782,3.29111075712069,0.144243491677282
"4365","qz","fine",0,0.04,0.01,0,50.5,7.1,147,72.2,4,11,24,5,2.782,0.143,12.83,0.648,2.7,0.136,0.0032934680989379,0.00032934680989379,0,0,0.369734243253125,0.0730953480556011,2.23233023218934,0.1387538187125,1.25833118718593,0.0689017366497042,3.8603956626284,0.171297990145874,3.86368913072734,0.171298306755604
"LUM-2307","qz","fine",0,0.04,0.01,0,50.5,7.1,147,1.5,4,11,20,10,3.471,0.176,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0,0,0.400235809522308,0.0888497163850579,1.87815917044135,0.200092876960858,1.14620667752443,0.11192427471195,3.42460165748808,0.245883051026243,3.59981057660074,0.246506503839839
"LUM-2308","qz","fine",0,0.04,0.01,0,50.5,7.1,147,4.3,4,11,20,10,4.107,0.21,13.88,0.701,1.83,0.094,0.121908881059722,0.0121908881059722,0,0,0.485746014398462,0.107696630811545,1.94037108428552,0.205669731892214,1.28984087947883,0.126015147018774,3.71595797816281,0.264156052709259,3.83786685922253,0.264437209816904
"LUM-2317","qz","fine",0,0.04,0.01,0,50.5,7.1,147,6.6,4,11,20,10,3.65,0.184,12.73,0.639,1.81,0.091,0.0932141706147063,0.00932141706147063,0,0,0.438342643129808,0.0971025775972596,1.85032398582677,0.19612469553893,1.19912133550489,0.117031977240311,3.48778796446147,0.248173911749496,3.58100213507617,0.24834890635773
"LUM-2318","qz","fine",0,0.04,0.01,0,50.5,7.1,147,9.6,4,11,20,10,3.107,0.158,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0,0,0.398303609278269,0.0881962202718412,1.79212822895493,0.190489074933052,1.13808599348534,0.111197939526778,3.32851783171854,0.237549242672104,3.39668795688876,0.237647037334252
"LUM-2310","qz","fine",0,0.04,0.01,0,50.5,7.1,147,12.6,4,11,25,10,3.691,0.189,13.34,0.673,1.72,0.088,0.0516667945407822,0.00516667945407823,0,0,0.426528531070182,0.0930979954005504,1.724434419449,0.175062797314992,1.15483564202335,0.108351970451237,3.30579859254253,0.225952139295065,3.35746538708331,0.226011202882949
